mission_run_id,command,llm_call_id,llm_step_index,speed_magnitude_score,climb_consistency_score,disp_vs_velocity_score,disp_vs_groundspeed_score,vert_disp_score,heading_score,yaw_score,roll_score,pitch_score,vxy_speed_mps,reported_groundspeed_mps,actual_disp_m,actual_climb_m,vz_mps,vfr_climb_mps,travel_dir_deg,reported_heading_deg,yaw_deg,roll_rad,pitch_rad
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,318f11a6-9494-4a9a-bdf4-4127206bb566,1,1.0,1.0,,,,,1.0,1.0,1.0,0.0,0.0,,,-12.0,12.0,,0.0,0.0,0.0,0.07
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,318f11a6-9494-4a9a-bdf4-4127206bb566,2,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-12.0,12.0,,0.0,0.0,0.0,0.09
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,318f11a6-9494-4a9a-bdf4-4127206bb566,3,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-12.0,12.0,,0.0,0.0,0.0,0.11
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,318f11a6-9494-4a9a-bdf4-4127206bb566,4,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-12.0,12.0,,0.0,0.0,0.0,0.13
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,aa9e7519-569b-4866-8872-859fb622e345,0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-12.0,12.0,,0.0,0.0,0.0,0.13
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,aa9e7519-569b-4866-8872-859fb622e345,1,1.0,1.0,1.0,1.0,0.75,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-11.0,11.0,,0.0,0.0,0.0,0.12
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,aa9e7519-569b-4866-8872-859fb622e345,2,1.0,1.0,1.0,1.0,0.25,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-9.0,9.0,,0.0,0.0,0.0,0.11
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,aa9e7519-569b-4866-8872-859fb622e345,3,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-6.0,6.0,,0.0,0.0,0.0,0.1
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,aa9e7519-569b-4866-8872-859fb622e345,4,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,6.655,-0.5,0.5,,0.0,0.0,0.0,0.08
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,3a68fa7b-e12b-4ea3-a09f-1d2c6edc8bbc,0,1.0,1.0,1.0,1.0,0.9775,,1.0,1.0,1.0,0.0,0.0,0.0,0.005,-0.1,0.1,,0.0,0.0,0.0,0.09
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,3a68fa7b-e12b-4ea3-a09f-1d2c6edc8bbc,1,,1.0,,,0.9775,,,,,,,,0.005,-0.1,0.1,,,,,
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,3a68fa7b-e12b-4ea3-a09f-1d2c6edc8bbc,2,,1.0,,,0.9775,,,,,,,,0.005,-0.1,0.1,,,,,
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,3a68fa7b-e12b-4ea3-a09f-1d2c6edc8bbc,3,,1.0,,,0.9975,,,,,,,,0.005,0.0,0.0,,,,,
mission_20260521_202827,MAV_CMD_NAV_TAKEOFF,3a68fa7b-e12b-4ea3-a09f-1d2c6edc8bbc,4,,1.0,,,0.9975,,,,,,,,0.005,0.0,0.0,,,,,
mission_20260521_202827,MAV_CMD_NAV_WAYPOINT,af84f2cd-ce97-4aff-a698-76299d569c7f,0,0.9593221986678602,1.0,,,1.0,0.6090623855408366,0.9999668622886475,1.0,1.0,10.06864439733572,10.15,,0.0,0.0,0.0,293.40780734933765,311.0,311.00149119701086,0.0,0.02
mission_20260521_202827,MAV_CMD_NAV_WAYPOINT,af84f2cd-ce97-4aff-a698-76299d569c7f,1,0.9593221986678602,,0.9760865450942058,0.9964254457602757,,0.6090623855408366,0.9999668622886475,,,10.06864439733572,10.15,5.082149108479449,,,,293.40780734933765,311.0,311.00149119701086,,
